Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
Weserstadion,"42,358",Europe,Germany,Bremen,,SV Werder Bremen
Denka Big Swan Stadium,"42,300",East Asia,Japan,"Niigata, Niigata",,Albirex Niigata
Estadio Olimpico Metropolitano de Mérida,"42,200",South America,Venezuela,Mérida,,Estudiantes de Mérida
Daejeon World Cup Stadium,"42,176",East Asia,South Korea,Daejeon,,Daejeon Citizen
Matmut ATLANTIQUE,"42,115",Europe,France,Bordeaux,,FC Girondins de Bordeaux
Helsingin Olympiastadion♦,"42,062",Europe,Finland,Helsinki,,Finland national football team
Estádio Serra Dourada,"42,000",South America,Brazil,"Goiânia,Goiás",,"Goiás Esporte Clube,Vila Nova,Atlético Goianiense"
Estadio Deportivo Cali♦,"42,000",South America,Colombia,Cali,,Deportivo Cali
Estadio Modelo Alberto Spencer,"42,000",South America,Ecuador,Guayaquil,,"Club Sport Patria,Club Deportivo Everest,Panamá Sporting Club,Rocafuerte Fútbol Club"
Estádio do Zimpeto,"42,000",Africa,Mozambique,Maputo,,Mozambique national football team
Chengdu Sports Centre Stadium,"42,000",East Asia,China,"Chengdu,Sichuan",,
Royal Bafokeng Stadium,"42,000",Africa,South Africa,"Phokeng, North West",,
Estadio Universitario,"42,000",North America,Mexico,San Nicolás de los Garza,,Tigres de la UANL
Estadio Brigadier General Estanislao López,"42,000",South America,Argentina,Santa Fe,,Club Atlético Colón
Estadio Marcelo Bielsa,"42,000",South America,Argentina,Rosario,,Newell's Old Boys
Stade Geoffroy-Guichard,"41,965",Europe,France,Saint-Étienne,,AS Saint-Étienne
Vodafone Park,"41,903",Europe,Turkey,Istanbul,,Beşiktaş J.K.
Peter Mokaba Stadium,"41,733",Africa,South Africa,Polokwane,,Polokwane City FC
Estadio Gigante de Arroyito,"41,654",South America,Argentina,Rosario,,Rosario Central
Estadio Cachamay,"41,600",South America,Venezuela,Ciudad Guayana,,"Atlético Club Mineros de Guayana,AC Minervén FC"
Estadio de Liga Deportiva Universitaria,"41,596",South America,Ecuador,Quito,,LDU
Allianz Stadium,"41,507",Europe,Italy,"Turin, Piedmont",,Juventus FC
Sapporo Dome,"41,484",East Asia,Japan,"Sapporo,Hokkaido",,Hokkaido Consadole Sapporo
Stamford Bridge,"41,663",Europe,England,London,,Chelsea
Goyang Stadium,"41,311",East Asia,South Korea,Goyang,,
Estadio Hernando Siles♦,"41,143",South America,Bolivia,La Paz,,"La Paz FC,Club Bolívar,The Strongest"
Bingu National Stadium,"41,100",Africa,Malawi,Lilongwe,,"Flames,Big Bullets FC"
Mbombela Stadium,"40,929",Africa,South Africa,"Nelspruit, Mpumalanga",,
Estadio José Pachencho Romero,"40,800",South America,Venezuela,Maracaibo,,"Deportivo JBL del Zulia,Deportivo Rayo Zuliano"
Stade Nelson Mandela,"40,784",Africa,Algeria,Algiers,,Algeria national football team
Kashima Football Stadium,"40,728",East Asia,Japan,"Kashima, Ibaraki",,Kashima Antlers
Baba Yara Stadium♦,"40,528",Africa,Ghana,Kumasi,,"Asante Kotoko,King Faisal Babes"
Estádio Major Antônio Couto Pereira,"40,502",South America,Brazil,"Curitiba, Paraná",,Coritiba Foot Ball Club
Stage Front Stadium,"40,500",Europe,Spain,Barcelona,,RCD Espanyol
